id,candidate,votes,state,county/township
270,trump,581,CO,Costilla
271,clinton,336,CO,Crowley
271,trump,1069,CO,Crowley
263,clinton,797,CO,Custer
263,trump,2059,CO,Custer
233,clinton,4048,CO,Delta
233,trump,11584,CO,Delta
219,clinton,170497,CO,Denver
219,trump,42536,CO,Denver
273,clinton,227,CO,Dolores
273,trump,936,CO,Dolores
221,clinton,67045,CO,Douglas
221,trump,100178,CO,Douglas
230,clinton,12652,CO,Eagle
230,trump,8153,CO,Eagle
216,clinton,105807,CO,El Paso
216,trump,176506,CO,El Paso
235,clinton,3056,CO,Elbert
235,trump,11536,CO,Elbert
231,clinton,5275,CO,Fremont
231,trump,15066,CO,Fremont
229,clinton,11205,CO,Garfield
229,trump,13071,CO,Garfield
259,clinton,1634,CO,Gilpin
259,trump,1564,CO,Gilpin
245,clinton,3319,CO,Grand
245,trump,4467,CO,Grand
244,clinton,5068,CO,Gunnison
244,trump,3250,CO,Gunnison
278,clinton,197,CO,Hinsdale
278,trump,339,CO,Hinsdale
257,clinton,1631,CO,Huerfano
257,trump,1875,CO,Huerfano
275,clinton,171,CO,Jackson
275,trump,628,CO,Jackson
217,clinton,151885,CO,Jefferson
217,trump,130233,CO,Jefferson
276,clinton,91,CO,Kiowa
276,trump,726,CO,Kiowa
258,clinton,526,CO,Kit Carson
258,trump,2894,CO,Kit Carson
228,clinton,15300,CO,La Plata
228,trump,12471,CO,La Plata
262,clinton,1600,CO,Lake
262,trump,1264,CO,Lake
220,clinton,92170,CO,Larimer
220,trump,82624,CO,Larimer
248,clinton,2614,CO,Las Animas
248,trump,3656,CO,Las Animas
266,clinton,399,CO,Lincoln
266,trump,1873,CO,Lincoln
243,clinton,1843,CO,Logan
243,trump,7272,CO,Logan
225,clinton,20958,CO,Mesa
225,trump,48129,CO,Mesa
277,clinton,237,CO,Mineral
277,trump,344,CO,Mineral
249,clinton,874,CO,Moffat
249,trump,5293,CO,Moffat
238,clinton,3920,CO,Montezuma
238,trump,7771,CO,Montezuma
232,clinton,5438,CO,Montrose
232,trump,14303,CO,Montrose
239,clinton,3128,CO,Morgan
239,trump,8104,CO,Morgan
252,clinton,1719,CO,Otero
252,trump,2988,CO,Otero
261,clinton,1690,CO,Ouray
261,trump,1337,CO,Ouray
242,clinton,3351,CO,Park
242,trump,6053,CO,Park
267,clinton,436,CO,Phillips
267,trump,1791,CO,Phillips
241,clinton,7239,CO,Pitkin
241,trump,2522,CO,Pitkin
253,clinton,1173,CO,Prowers
253,trump,3508,CO,Prowers
226,clinton,27945,CO,Pueblo
226,trump,27746,CO,Pueblo
260,clinton,433,CO,Rio Blanco
260,trump,2782,CO,Rio Blanco
251,clinton,1985,CO,Rio Grande
251,trump,3060,CO,Rio Grande
237,clinton,7487,CO,Routt
237,trump,5149,CO,Routt
265,clinton,1345,CO,Saguache
265,trump,1109,CO,Saguache
279,clinton,265,CO,San Juan
279,trump,215,CO,San Juan
255,clinton,2960,CO,San Miguel
255,trump,1030,CO,San Miguel
272,clinton,267,CO,Sedgwick
272,trump,1015,CO,Sedgwick
234,clinton,9502,CO,Summit
234,trump,5064,CO,Summit
236,clinton,3547,CO,Teller
236,trump,9580,CO,Teller
264,clinton,289,CO,Washington
264,trump,2284,CO,Washington
224,clinton,45869,CO,Weld
224,trump,75882,CO,Weld
254,clinton,701,CO,Yuma
254,trump,3755,CO,Yuma
423,clinton,896,CT,Andover
423,trump,891,CT,Andover
355,clinton,3541,CT,Ansonia
355,trump,3621,CT,Ansonia
414,clinton,1119,CT,Ashford
414,trump,1043,CT,Ashford
333,clinton,5616,CT,Avon
333,trump,4378,CT,Avon
419,clinton,905,CT,Barkhamsted
419,trump,1157,CT,Barkhamsted
403,clinton,1146,CT,Beacon Falls
403,trump,2002,CT,Beacon Falls
326,clinton,4913,CT,Berlin
326,trump,6210,CT,Berlin
402,clinton,1580,CT,Bethany
402,trump,1646,CT,Bethany
338,clinton,4735,CT,Bethel
338,trump,4492,CT,Bethel
416,clinton,801,CT,Bethlehem
416,trump,1405,CT,Bethlehem
336,clinton,8430,CT,Bloomfield
336,trump,1426,CT,Bloomfield
407,clinton,1385,CT,Bolton
407,trump,1436,CT,Bolton
434,clinton,536,CT,Bozrah
434,trump,764,CT,Bozrah
304,clinton,8452,CT,Branford
304,trump,6585,CT,Branford
310,clinton,12074,CT,Bridgeport
310,trump,2706,CT,Bridgeport
438,clinton,518,CT,Bridgewater
438,trump,571,CT,Bridgewater
290,clinton,12476,CT,Bristol
290,trump,12739,CT,Bristol
397,clinton,1576,CT,Brookfield
397,trump,1983,CT,Brookfield
398,clinton,1446,CT,Brooklyn
398,trump,2050,CT,Brooklyn
376,clinton,2338,CT,Burlington
376,trump,2767,CT,Burlington
447,clinton,362,CT,Canaan
447,trump,205,CT,Canaan
409,clinton,932,CT,Canterbury
409,trump,1609,CT,Canterbury
367,clinton,3100,CT,Canton
367,trump,2601,CT,Canton
437,clinton,432,CT,Chaplin
437,trump,624,CT,Chaplin
312,clinton,7212,CT,Cheshire
312,trump,6907,CT,Cheshire
417,clinton,1365,CT,Chester
417,trump,781,CT,Chester
357,clinton,3493,CT,Clinton
357,trump,3415,CT,Clinton
339,clinton,4236,CT,Colchester
339,trump,4332,CT,Colchester
445,clinton,320,CT,Colebrook
445,trump,526,CT,Colebrook
404,clinton,1542,CT,Columbia
404,trump,1497,CT,Columbia
443,clinton,622,CT,Cornwall
443,trump,248,CT,Cornwall
360,clinton,3067,CT,Coventry
360,trump,3057,CT,Coventry
350,clinton,3800,CT,Cromwell
350,trump,3482,CT,Cromwell
288,clinton,15599,CT,Danbury
288,trump,11346,CT,Danbury
329,clinton,5774,CT,Darien
329,trump,4601,CT,Darien
411,clinton,1412,CT,Deep River
411,trump,1077,CT,Deep River
382,clinton,2326,CT,Derby
382,trump,2650,CT,Derby
395,clinton,1674,CT,Durham
395,trump,2003,CT,Durham
408,clinton,1379,CT,East Granby
408,trump,1369,CT,East Granby
381,clinton,2331,CT,East Haddam
381,trump,2487,CT,East Haddam
358,clinton,3173,CT,East Hampton
358,trump,3613,CT,East Hampton
300,clinton,13193,CT,East Hartford
300,trump,5217,CT,East Hartford
324,clinton,5491,CT,East Haven
324,trump,6992,CT,East Haven
330,clinton,6005,CT,East Lyme
330,trump,4453,CT,East Lyme
371,clinton,2510,CT,East Windsor
371,trump,2670,CT,East Windsor
441,clinton,367,CT,Eastford
441,trump,513,CT,Eastford
386,clinton,2203,CT,Easton
386,trump,2131,CT,Easton
348,clinton,3531,CT,Ellington
348,trump,4199,CT,Ellington
301,clinton,8548,CT,Enfield
301,trump,9238,CT,Enfield
391,clinton,2291,CT,Essex
391,trump,1620,CT,Essex
283,clinton,17859,CT,Fairfield
283,trump,12024,CT,Fairfield
316,clinton,7641,CT,Farmington
316,trump,5984,CT,Farmington
439,clinton,413,CT,Franklin
439,trump,612,CT,Franklin
313,clinton,8119,CT,Glastonbury
313,trump,5594,CT,Glastonbury
425,clinton,673,CT,Goshen
425,trump,1062,CT,Goshen
361,clinton,3095,CT,Granby
361,trump,2956,CT,Granby
286,clinton,16253,CT,Greenwich
286,trump,11096,CT,Greenwich
378,clinton,1934,CT,Griswold
378,trump,3011,CT,Griswold
306,clinton,8439,CT,Groton
306,trump,5929,CT,Groton
322,clinton,7819,CT,Guilford
322,trump,4931,CT,Guilford
383,clinton,2141,CT,Haddam
383,trump,2553,CT,Haddam
289,clinton,18962,CT,Hamden
289,trump,7790,CT,Hamden
440,clinton,484,CT,Hampton
440,trump,509,CT,Hampton
284,clinton,27425,CT,Hartford
284,trump,2276,CT,Hartford
436,clinton,349,CT,Hartland
436,trump,804,CT,Hartland
401,clinton,1131,CT,Harwinton
401,trump,2107,CT,Harwinton
374,clinton,2627,CT,Hebron
374,trump,2555,CT,Hebron
426,clinton,1062,CT,Kent
426,trump,559,CT,Kent
